,ID,Data,Produto,Categoria,Quantidade,Preço
185,186,2023-12-30,Camiseta,Marca B,4.0,95.0
186,187,2023-01-12,Calça,Marca A,1.0,100.0
187,188,2023-09-03,Camiseta,Marca A,2.0,75.0
188,189,2023-03-11,Camiseta,Marca A,2.0,65.0
189,190,2023-06-28,Camiseta,Marca A,4.0,65.0
190,191,2023-03-27,Calça,Marca B,5.0,105.0
191,192,2023-07-31,Camiseta,Marca A,4.0,60.0
192,193,2023-06-19,Calça,Marca B,3.0,125.0
193,194,2023-04-14,Calça,Marca A,3.0,110.0
194,195,2023-04-30,Calça,Marca A,2.0,90.0
195,196,2023-07-12,Tênis,Marca A,1.0,160.0
196,197,2023-04-08,Camiseta,Marca A,5.0,70.0
197,198,2023-03-05,Meia,Marca B,2.0,55.0
198,199,2023-07-13,Calça,Marca A,1.0,90.0
199,200,2023-06-20,Camiseta,Marca B,2.0,85.0
200,201,2023-07-12,Roupa Intíma,Marca B,4.0,35.0
201,202,2023-12-31,Calça,Marca B,2.0,120.0
202,203,2023-11-07,Calça,Marca B,3.0,95.0
203,204,2023-08-19,Tênis,Marca B,3.0,180.0
204,205,2023-03-16,Calça,Marca A,3.0,95.0
205,206,2023-08-05,Meia,Marca A,8.0,30.0
206,207,2023-04-18,Calça,Marca A,3.0,90.0
207,208,2023-07-04,Roupa Intíma,Marca B,2.0,45.0
208,209,2023-02-15,Camiseta,Marca A,1.0,65.0
209,210,2023-12-30,Camiseta,Marca A,2.0,70.0
210,211,2023-01-04,Calça,Marca A,2.0,105.0
211,212,2023-02-12,Calça,Marca A,1.0,105.0
212,213,2023-01-17,Roupa Intíma,Marca B,4.0,55.0
213,214,2023-03-17,Tênis,Marca B,7.0,165.0
214,215,2023-08-01,Camiseta,Marca B,1.0,90.0
215,216,2023-09-14,Tênis,Marca A,5.0,160.0
216,217,2023-11-27,Calça,Marca C,3.0,90.0
217,218,2023-10-12,Calça,Marca B,2.0,125.0
218,219,2023-09-29,Calça,Marca A,1.0,75.0
219,220,2023-04-17,Camiseta,Marca A,1.0,55.0
220,221,2023-08-24,Roupa Intíma,Marca A,1.0,25.0
221,222,2023-04-02,Calça,Marca A,8.0,95.0
222,223,2023-04-17,Calça,Marca C,3.0,105.0
223,224,2023-03-20,Camiseta,Marca A,3.0,60.0
224,225,2023-08-23,Camiseta,Marca A,3.0,60.0
225,226,2023-12-10,Camiseta,Marca C,5.0,70.0
226,227,2023-10-06,Calça,Marca A,5.0,85.0
227,228,2023-08-09,Camiseta,Marca C,3.0,55.0
228,229,2023-06-05,Calça,Marca A,1.0,80.0
229,230,2023-12-01,Roupa Intíma,Marca B,3.0,50.0
230,231,2023-07-28,Tênis,Marca A,2.0,165.0
231,232,2023-06-01,Tênis,Marca B,1.0,200.0
232,233,2023-04-11,Roupa Intíma,Marca C,2.0,25.0
233,234,2023-03-07,Calça,Marca A,5.0,100.0
235,236,2023-11-02,Camiseta,Marca B,1.0,80.0
236,237,2023-03-12,Tênis,Marca A,1.0,170.0
237,238,2023-05-26,Camiseta,Marca A,3.0,50.0
238,239,2023-12-09,Calça,Marca B,2.0,110.0
239,240,2023-08-13,Calça,Marca B,3.0,130.0
240,241,2023-03-26,Calça,Marca B,4.0,130.0
241,242,2023-09-11,Camiseta,Marca A,3.0,55.0
242,243,2023-02-02,Tênis,Marca A,3.0,155.0
243,244,2023-09-14,Camiseta,Marca A,2.0,65.0
244,245,2023-03-01,Calça,Marca A,4.0,90.0
245,246,2023-03-02,Calça,Marca A,1.0,85.0
246,247,2023-07-17,Calça,Marca A,2.0,95.0
247,248,2023-08-13,Calça,Marca B,4.0,115.0
248,249,2023-08-17,Camiseta,Marca A,3.0,55.0
249,250,2023-08-11,Camiseta,Marca A,3.0,60.0
250,251,2023-06-14,Camiseta,Marca B,2.0,85.0
251,252,2023-02-25,Calça,Marca A,1.0,105.0
252,253,2023-07-01,Meia,Marca A,1.0,30.0
253,254,2023-01-29,Roupa Intíma,Marca B,3.0,40.0
254,255,2023-06-11,Tênis,Marca B,2.0,210.0
255,256,2023-12-15,Camiseta,Marca A,3.0,45.0
256,257,2023-11-05,Calça,Marca B,1.0,100.0
257,258,2023-09-11,Tênis,Marca A,1.0,155.0
258,259,2023-03-03,Calça,Marca A,3.0,90.0
259,260,2023-08-04,Calça,Marca B,4.0,125.0
260,261,2023-04-13,Camiseta,Marca A,3.0,80.0
261,262,2023-03-04,Calça,Marca A,2.0,100.0
262,263,2023-07-18,Camiseta,Marca A,3.0,70.0
263,264,2023-12-24,Calça,Marca A,4.0,100.0
264,265,2023-02-25,Roupa Intíma,Marca A,2.0,40.0
265,266,2023-10-01,Calça,Marca B,6.0,120.0
266,267,2023-01-12,Camiseta,Marca C,1.0,60.0
267,268,2023-04-03,Camiseta,Marca A,3.0,65.0
268,269,2023-06-24,Camiseta,Marca B,1.0,70.0
269,270,2023-02-26,Camiseta,Marca A,1.0,60.0
270,271,2023-03-22,Camiseta,Marca A,1.0,70.0
271,272,2023-01-23,Meia,Marca B,1.0,50.0
272,273,2023-04-13,Camiseta,Marca A,1.0,65.0
273,274,2023-01-23,Calça,Marca A,4.0,90.0
274,275,2023-12-20,Camiseta,Marca A,2.0,65.0
275,276,2023-08-06,Calça,Marca A,2.0,110.0
276,277,2023-01-14,Calça,Marca B,2.0,120.0
277,278,2023-07-26,Camiseta,Marca A,1.0,75.0
278,279,2023-05-19,Calça,Marca A,1.0,100.0
279,280,2023-09-10,Camiseta,Marca B,3.0,95.0
280,281,2023-01-03,Calça,Marca A,2.0,110.0
281,282,2023-06-01,Camiseta,Marca B,1.0,100.0
282,283,2023-01-05,Camiseta,Marca A,2.0,65.0
283,284,2023-09-08,Roupa Intíma,Marca B,1.0,55.0
284,285,2023-01-01,Camiseta,Marca C,3.0,45.0
285,286,2023-12-27,Calça,Marca A,3.0,95.0
286,287,2023-05-05,Roupa Intíma,Marca B,4.0,45.0
287,288,2023-06-02,Camiseta,Marca C,2.0,55.0
288,289,2023-08-21,Calça,Marca A,1.0,80.0
289,290,2023-05-21,Camiseta,Marca A,3.0,75.0
290,291,2023-06-25,Calça,Marca A,6.0,90.0
291,292,2023-09-12,Calça,Marca B,2.0,120.0
292,293,2023-01-12,Calça,Marca B,3.0,120.0
293,294,2023-01-25,Camiseta,Marca A,1.0,65.0
294,295,2023-09-29,Tênis,Marca A,1.0,150.0
295,296,2023-03-01,Roupa Intíma,Marca A,2.0,30.0
296,297,2023-10-16,Camiseta,Marca B,3.0,105.0
297,298,2023-01-15,Calça,Marca A,5.0,95.0
298,299,2023-06-07,Camiseta,Marca B,4.0,95.0
299,300,2023-11-27,Tênis,Marca B,1.0,170.0
300,301,2023-12-19,Camiseta,Marca B,2.0,80.0
301,302,2023-01-21,Calça,Marca A,1.0,85.0
302,303,2023-10-21,Camiseta,Marca B,7.0,85.0
303,304,2023-03-04,Calça,Marca A,8.0,80.0
304,305,2023-05-07,Calça,Marca A,3.0,105.0
305,306,2023-01-24,Camiseta,Marca A,3.0,75.0
306,307,2023-09-25,Calça,Marca B,3.0,135.0
307,308,2023-09-06,Calça,Marca C,3.0,90.0
308,309,2023-06-28,Tênis,Marca B,2.0,175.0
309,310,2023-12-25,Camiseta,Marca A,3.0,90.0
310,311,2023-11-25,Meia,Marca B,4.0,55.0
311,312,2023-09-21,Tênis,Marca A,2.0,180.0
312,313,2023-03-14,Camiseta,Marca A,2.0,50.0
313,314,2023-03-15,Roupa Intíma,Marca A,8.0,30.0
314,315,2023-04-01,Camiseta,Marca A,2.0,65.0
315,316,2023-09-27,Camiseta,Marca C,1.0,55.0
316,317,2023-08-06,Calça,Marca A,3.0,90.0
317,318,2023-02-03,Calça,Marca B,2.0,120.0
318,319,2023-06-15,Camiseta,Marca B,1.0,85.0
319,320,2023-07-05,Camiseta,Marca B,2.0,80.0
320,321,2023-02-27,Calça,Marca B,3.0,120.0
321,322,2023-09-23,Tênis,Marca A,1.0,180.0
322,323,2023-12-12,Calça,Marca C,1.0,90.0
323,324,2023-09-21,Camiseta,Marca A,1.0,60.0
324,325,2023-03-20,Roupa Intíma,Marca B,2.0,65.0
325,326,2023-12-03,Calça,Marca A,3.0,90.0
326,327,2023-07-09,Calça,Marca A,8.0,110.0
327,328,2023-09-02,Camiseta,Marca A,3.0,65.0
328,329,2023-03-24,Roupa Intíma,Marca A,7.0,25.0
329,330,2023-12-12,Camiseta,Marca B,2.0,70.0
330,331,2023-07-21,Calça,Marca C,1.0,75.0
331,332,2023-01-17,Camiseta,Marca B,2.0,80.0
332,333,2023-01-29,Roupa Intíma,Marca A,3.0,35.0
333,334,2023-12-19,Calça,Marca C,2.0,75.0
334,335,2023-03-13,Tênis,Marca A,1.0,155.0
335,336,2023-05-19,Tênis,Marca B,3.0,190.0
336,337,2023-04-05,Calça,Marca B,2.0,125.0
337,338,2023-07-07,Camiseta,Marca A,8.0,65.0
338,339,2023-11-13,Camiseta,Marca A,2.0,60.0
339,340,2023-04-28,Camiseta,Marca A,1.0,60.0
340,341,2023-08-26,Camiseta,Marca A,2.0,75.0
341,342,2023-03-02,Calça,Marca A,4.0,95.0
342,343,2023-05-17,Camiseta,Marca A,2.0,50.0
343,344,2023-01-22,Tênis,Marca A,2.0,175.0
344,345,2023-01-31,Roupa Intíma,Marca A,2.0,55.0
345,346,2023-06-26,Calça,Marca A,1.0,80.0
346,347,2023-03-15,Camiseta,Marca A,6.0,65.0
347,348,2023-11-06,Meia,Marca A,2.0,35.0
348,349,2023-07-09,Camiseta,Marca A,2.0,70.0
349,350,2023-12-14,Roupa Intíma,Marca A,2.0,35.0
350,351,2023-01-30,Calça,Marca A,3.0,95.0
351,352,2023-09-23,Camiseta,Marca B,5.0,100.0
352,353,2023-11-17,Camiseta,Marca A,3.0,65.0
353,354,2023-04-17,Camiseta,Marca A,1.0,65.0
355,356,2023-08-30,Meia,Marca A,2.0,30.0
356,357,2023-01-01,Calça,Marca C,3.0,85.0
357,358,2023-01-29,Calça,Marca A,4.0,100.0
358,359,2023-10-27,Calça,Marca A,1.0,100.0
359,360,2023-11-26,Camiseta,Marca B,1.0,85.0
360,361,2023-05-10,Tênis,Marca B,2.0,190.0
361,362,2023-10-21,Calça,Marca A,6.0,95.0
362,363,2023-03-06,Tênis,Marca A,2.0,170.0
363,364,2023-01-30,Tênis,Marca A,1.0,170.0
364,365,2023-01-06,Camiseta,Marca A,6.0,55.0
365,366,2023-04-10,Camiseta,Marca B,1.0,80.0
366,367,2023-02-23,Camiseta,Marca A,3.0,55.0
367,368,2023-01-13,Calça,Marca B,1.0,120.0
368,369,2023-12-18,Calça,Marca B,1.0,115.0
369,370,2023-12-26,Calça,Marca C,1.0,95.0
370,371,2023-06-05,Tênis,Marca B,4.0,180.0
371,372,2023-01-07,Camiseta,Marca A,2.0,60.0
372,373,2023-08-17,Calça,Marca A,2.0,90.0
373,374,2023-02-05,Calça,Marca A,3.0,80.0
374,375,2023-12-12,Calça,Marca A,3.0,90.0
375,376,2023-05-25,Calça,Marca A,2.0,95.0
376,377,2023-11-28,Roupa Intíma,Marca A,4.0,30.0
377,378,2023-02-06,Camiseta,Marca B,2.0,105.0
378,379,2023-07-01,Tênis,Marca B,7.0,180.0
379,380,2023-04-20,Roupa Intíma,Marca A,3.0,35.0
380,381,2023-11-07,Roupa Intíma,Marca A,2.0,30.0
381,382,2023-01-05,Camiseta,Marca B,4.0,95.0
382,383,2023-09-04,Camiseta,Marca A,3.0,75.0
383,384,2023-12-24,Tênis,Marca B,1.0,185.0
384,385,2023-01-04,Roupa Intíma,Marca A,4.0,35.0
385,386,2023-02-22,Camiseta,Marca C,1.0,55.0
386,387,2023-06-14,Calça,Marca A,3.0,85.0
387,388,2023-01-06,Camiseta,Marca B,3.0,95.0
388,389,2023-10-09,Calça,Marca A,2.0,90.0
389,390,2023-07-08,Tênis,Marca B,4.0,185.0
390,391,2023-04-18,Tênis,Marca A,3.0,175.0
391,392,2023-06-25,Tênis,Marca A,3.0,180.0
392,393,2023-08-08,Tênis,Marca A,7.0,150.0
393,394,2023-07-01,Camiseta,Marca A,6.0,60.0
394,395,2023-02-16,Calça,Marca B,1.0,95.0
395,396,2023-12-02,Calça,Marca B,1.0,115.0
396,397,2023-07-08,Camiseta,Marca A,4.0,70.0
397,398,2023-02-27,Tênis,Marca A,2.0,160.0
398,399,2023-02-18,Roupa Intíma,Marca B,2.0,60.0
399,400,2023-12-09,Camiseta,Marca B,3.0,95.0
400,401,2023-07-04,Calça,Marca A,3.0,100.0
401,402,2023-06-08,Calça,Marca A,2.0,75.0
402,403,2023-03-09,Tênis,Marca A,4.0,160.0
403,404,2023-04-04,Calça,Marca A,4.0,100.0
404,405,2023-09-08,Calça,Marca A,6.0,85.0
405,406,2023-12-22,Tênis,Marca A,1.0,170.0
406,407,2023-09-03,Camiseta,Marca B,3.0,90.0
407,408,2023-06-10,Calça,Marca B,4.0,115.0
408,409,2023-01-13,Camiseta,Marca B,4.0,75.0
409,410,2023-10-20,Camiseta,Marca A,1.0,60.0
410,411,2023-04-16,Camiseta,Marca A,1.0,60.0
411,412,2023-07-30,Camiseta,Marca B,4.0,85.0
412,413,2023-05-11,Camiseta,Marca B,4.0,100.0
413,414,2023-06-16,Roupa Intíma,Marca B,1.0,50.0
414,415,2023-08-18,Calça,Marca A,1.0,95.0
415,416,2023-09-25,Roupa Intíma,Marca C,2.0,25.0
416,417,2023-03-03,Tênis,Marca B,1.0,190.0
417,418,2023-10-04,Calça,Marca A,1.0,100.0
418,419,2023-09-02,Calça,Marca A,2.0,85.0
419,420,2023-08-27,Calça,Marca B,3.0,105.0
420,421,2023-08-18,Camiseta,Marca B,6.0,75.0
421,422,2023-11-26,Camiseta,Marca A,4.0,50.0
422,423,2023-09-23,Camiseta,Marca A,1.0,60.0
423,424,2023-04-16,Camiseta,Marca A,8.0,60.0
424,425,2023-07-07,Tênis,Marca B,3.0,185.0
425,426,2023-01-05,Camiseta,Marca A,4.0,55.0
426,427,2023-05-11,Camiseta,Marca A,3.0,75.0
427,428,2023-07-14,Tênis,Marca A,4.0,160.0
428,429,2023-10-09,Calça,Marca A,1.0,105.0
429,430,2023-05-14,Tênis,Marca A,1.0,165.0
430,431,2023-11-04,Calça,Marca A,1.0,100.0
431,432,2023-08-11,Camiseta,Marca A,3.0,75.0
432,433,2023-09-09,Camiseta,Marca C,1.0,45.0
433,434,2023-05-12,Calça,Marca A,1.0,85.0
434,435,2023-09-06,Calça,Marca A,3.0,105.0
435,436,2023-02-18,Calça,Marca A,2.0,105.0
436,437,2023-02-27,Roupa Intíma,Marca C,1.0,20.0
437,438,2023-02-23,Camiseta,Marca B,1.0,85.0
438,439,2023-10-30,Calça,Marca B,4.0,120.0
439,440,2023-06-22,Camiseta,Marca B,2.0,100.0
440,441,2023-04-24,Roupa Intíma,Marca A,2.0,30.0
441,442,2023-11-24,Meia,Marca A,2.0,60.0
442,443,2023-12-15,Calça,Marca C,1.0,80.0
443,444,2023-06-06,Calça,Marca C,3.0,100.0
444,445,2023-01-27,Camiseta,Marca B,1.0,85.0
445,446,2023-10-09,Camiseta,Marca B,2.0,85.0
446,447,2023-10-15,Calça,Marca C,2.0,95.0
447,448,2023-07-09,Meia,Marca A,5.0,40.0
448,449,2023-03-27,Calça,Marca B,4.0,125.0
449,450,2023-12-08,Camiseta,Marca A,5.0,65.0
450,451,2023-06-14,Tênis,Marca A,4.0,165.0
451,452,2023-03-20,Camiseta,Marca B,1.0,65.0
452,453,2023-03-19,Calça,Marca A,4.0,90.0
454,455,2023-02-28,Calça,Marca A,4.0,100.0
455,456,2023-07-12,Calça,Marca A,1.0,90.0
456,457,2023-01-24,Calça,Marca A,3.0,100.0
457,458,2023-04-07,Meia,Marca A,2.0,35.0
458,459,2023-12-05,Camiseta,Marca A,2.0,55.0
459,460,2023-02-19,Meia,Marca B,4.0,60.0
460,461,2023-06-04,Calça,Marca A,1.0,85.0
461,462,2023-11-30,Camiseta,Marca A,1.0,70.0
462,463,2023-04-18,Meia,Marca B,4.0,55.0
463,464,2023-02-28,Meia,Marca A,1.0,30.0
464,465,2023-09-10,Camiseta,Marca A,3.0,65.0
465,466,2023-05-08,Calça,Marca A,2.0,85.0
466,467,2023-08-14,Calça,Marca A,3.0,105.0
467,468,2023-05-05,Calça,Marca A,2.0,115.0
468,469,2023-12-13,Camiseta,Marca A,2.0,60.0
469,470,2023-05-23,Calça,Marca A,2.0,80.0
470,471,2023-02-15,Camiseta,Marca A,2.0,60.0
471,472,2023-04-20,Camiseta,Marca A,6.0,65.0
472,473,2023-07-31,Calça,Marca A,3.0,90.0
473,474,2023-04-15,Calça,Marca A,2.0,80.0
474,475,2023-08-30,Camiseta,Marca B,1.0,85.0
475,476,2023-10-30,Calça,Marca B,3.0,105.0
476,477,2023-09-23,Calça,Marca B,2.0,95.0
477,478,2023-04-03,Roupa Intíma,Marca A,3.0,25.0
478,479,2023-03-13,Roupa Intíma,Marca A,2.0,45.0
479,480,2023-12-08,Tênis,Marca A,1.0,165.0
480,481,2023-06-08,Camiseta,Marca B,1.0,80.0
481,482,2023-07-18,Calça,Marca A,2.0,90.0
482,483,2023-07-12,Camiseta,Marca A,7.0,50.0
